Andaman & Nicobar Islands,2001,0
Andhra Pradesh,2001,511
Arunachal Pradesh,2001,0
Assam,2001,48
Bihar,2001,249
Chandigarh,2001,15
Dadra & Nagar Haveli,2001,1
Daman & Diu,2001,2
Delhi,2001,181
Goa,2001,14
Gujarat,2001,329
Haryana,2001,245
Himachal Pradesh,2001,196
Jammu & Kashmir,2001,356
Karnataka,2001,517
Kerala,2001,591
Lakshadweep,2001,1
Madhya Pradesh,2001,632
Maharashtra,2001,1002
Manipur,2001,13
Meghalaya,2001,1
Mizoram,2001,2
Nagaland,2001,4
Odisha,2001,623
Puducherry,2001,9
Punjab,2001,586
Rajasthan,2001,1572
Sikkim,2001,59
Tamil Nadu,2001,174
Tripura,2001,2
Uttar Pradesh,2001,150
Uttarakhand,2001,17
West Bengal,2001,28
Andaman & Nicobar Islands,2002,0
Andhra Pradesh,2002,647
Arunachal Pradesh,2002,0
Assam,2002,50
Bihar,2002,183
Chandigarh,2002,14
Chhattisgarh,2002,163
Dadra & Nagar Haveli,2002,1
Daman & Diu,2002,3
Delhi,2002,140
Goa,2002,21
Gujarat,2002,269
Haryana,2002,370
Himachal Pradesh,2002,182
Jammu & Kashmir,2002,373
Jharkhand,2002,143
Karnataka,2002,351
Kerala,2002,619
Lakshadweep,2002,0
Madhya Pradesh,2002,505
Maharashtra,2002,969
Manipur,2002,17
Meghalaya,2002,0
Mizoram,2002,3
Nagaland,2002,4
Odisha,2002,600
Puducherry,2002,10
Punjab,2002,623
Rajasthan,2002,1572
Sikkim,2002,54
Tamil Nadu,2002,227
Tripura,2002,2
Uttar Pradesh,2002,292
Uttarakhand,2002,18
West Bengal,2002,26
Andaman & Nicobar Islands,2003,10
Andhra Pradesh,2003,681
Arunachal Pradesh,2003,3
Assam,2003,74
Bihar,2003,196
Chandigarh,2003,16
Chhattisgarh,2003,122
Dadra & Nagar Haveli,2003,1
Daman & Diu,2003,3
Delhi,2003,158
Goa,2003,21
Gujarat,2003,313
Haryana,2003,414
Himachal Pradesh,2003,205
Jammu & Kashmir,2003,363
Jharkhand,2003,116
Karnataka,2003,233
Kerala,2003,707
Lakshadweep,2003,1
Madhya Pradesh,2003,480
